bank_date,bank_amount,bank_description,sap_date,sap_amount,sap_description,fuzzy_score
2024-01-18,3167.1,synthesize sticky systems,2024-01-20,3144.652215900456,synthesize sticky systems,100.0
2024-09-09,1172.85,deploy holistic bandwidth,2024-09-11,1166.4330906925684,deploy holistic bandwidth,100.0
2024-06-26,3817.7,synthesize front-end methodologies,2024-06-28,3674.175467660899,synthesize front-end methodologies,100.0
2024-01-21,2807.79,whiteboard cutting-edge paradigms,2024-01-24,2860.5269832960157,whiteboard cutting-edge paradigms,100.0
2024-05-30,4036.21,iterate wireless models,2024-05-27,4146.349901628808,iterate wireless models,100.0
2024-03-25,452.13,expedite leading-edge e-commerce,2024-03-28,472.25432963286494,EXP. leading-edge e-commerce,76.66666666666666
2024-05-03,2684.67,monetize turn-key niches,2024-04-30,2637.336694572275,monetize turn-key niches,100.0
2024-03-05,4461.35,transition cutting-edge applications,2024-03-08,4580.176800807672,transition cutting-edge applications,100.0
2024-06-02,4274.23,implement synergistic ROI,2024-06-04,4290.892058615099,implement synergistic ROI,100.0
2024-02-15,4470.37,grow real-time metrics,2024-02-17,4576.81325605598,grow real-time metrics,100.0
2024-04-15,546.75,scale collaborative e-business,2024-04-13,567.4006463209146,scale collaborative e-business,100.0
2024-07-06,1452.86,innovate 24/7 architectures,2024-07-06,1453.154342962045,innovate 24/7 architectures,100.0
2024-08-13,1249.77,expedite clicks-and-mortar platforms,2024-08-10,1209.6724760390762,expedite clicks-and-mortar platforms,100.0
2024-07-19,3330.94,seize out-of-the-box partnerships,2024-07-18,3202.961837500501,seize out-of-the-box partnerships,100.0
2024-03-16,2521.38,enhance best-of-breed relationships,2024-03-17,2607.784659835575,enhance best-of-breed relationships,100.0
2024-02-21,1916.47,enable viral metrics,2024-02-24,1898.320857640244,enable viral MET.,64.86486486486487
2024-05-05,3951.33,morph virtual architectures,2024-05-08,4027.4569680024592,morph virtual architectures,100.0
2024-04-22,2363.53,strategize clicks-and-mortar initiatives,2024-04-24,2428.7205151903618,strategize clicks-and-mortar initiatives,100.0
2024-01-23,3962.72,re-intermediate best-of-breed mindshare,2024-01-20,3812.62043439522,re-intermediate best-of-breed mindshare,100.0
2024-02-07,3782.83,incentivize proactive relationships,2024-02-07,3917.922382760494,incentivize proactivp relationships,97.14285714285714
2024-02-19,3698.88,monetize B2C solutions,2024-02-20,3722.843332770368,monetize B2C solutions,100.0
2024-04-09,4655.52,integrate bleeding-edge functionalities,2024-04-08,4614.737908572623,integrate bleeding-edge functionalities,100.0
2024-03-31,4388.7,empower virtual technologies,2024-03-28,4287.641462801798,empower virtual technologies,100.0
2024-02-05,4494.77,integrate clicks-and-mortar solutions,2024-02-04,4346.111754220965,integrate clicks-and-mortar solutions,100.0
2024-05-08,2981.83,strategize vertical architectures,2024-05-06,3002.4838829228493,strategize vertical architectures,100.0
2024-06-08,1369.78,enable web-enabled models,2024-06-08,1369.9799587708717,enable web-enabled models,100.0
2024-03-08,2056.81,enhance open-source e-services,2024-03-08,2099.56236126762,enhance open-source e-services,100.0
2024-04-03,1050.87,generate cross-media ROI,2024-04-02,1077.8671123314489,generate cross-media ROI,100.0
2024-02-21,2243.35,grow world-class methodologies,2024-02-20,2201.626680507069,grow world-class methodologies,100.0
2024-02-03,2715.78,target customized solutions,2024-02-01,2587.3278265995136,TAR. customized solutions,76.92307692307692
2024-02-06,803.53,revolutionize efficient content,2024-02-07,789.7060908166479,revolutionize efficient content,100.0
2024-04-23,2472.61,benchmark robust functionalities,2024-04-24,2393.4732715960563,benchmark robust functionalities,100.0
2024-08-31,494.64,seize viral convergence,2024-08-28,499.1642906285947,seize viraf CON.,56.41025641025641
2024-08-20,4589.04,orchestrate compelling synergies,2024-08-23,4640.072036370121,ORC. compelling synergies,70.17543859649122
2024-07-03,4932.28,facilitate collaborative convergence,2024-06-30,4927.4421242588505,FAC. collaborative convergence,75.75757575757575
2024-05-25,3165.07,cultivate bricks-and-clicks markets,2024-05-27,3260.7272366555485,cultivate bricks-and-clicks markets,100.0
2024-04-12,3376.6,engineer cutting-edge ROI,2024-04-13,3391.8692536943827,engineer cutting-edge ROI,100.0
2024-01-23,1669.48,iterate enterprise portals,2024-01-25,1612.3504663409867,iterate enterprise portals,100.0
2024-01-12,458.15,target web-enabled metrics,2024-01-14,461.34020956616695,target web-enabled metrics,100.0
2024-03-07,3504.55,evolve dynamic eyeballs,2024-03-04,3632.023719860129,evolve dynamic eyeballs,100.0
2024-01-13,2596.85,orchestrate leading-edge markets,2024-01-15,2619.5925347308357,orchestrate leading-edge markets,100.0
2024-06-25,2075.66,syndicate impactful bandwidth,2024-06-25,2061.240372195097,syndicate impactful bandwidth,100.0
2024-07-31,946.46,implement leading-edge models,2024-08-03,902.610580831705,implement leading-edge modelq,96.55172413793103
2024-02-29,4289.82,brand distributed bandwidth,2024-02-26,4345.716062959105,brand distributed bandwidth,100.0
2024-04-19,1516.08,iterate front-end networks,2024-04-16,1514.7875937497854,iterate front-end networks,100.0
2024-09-21,2821.65,streamline extensible interfaces,2024-09-20,2723.877758553855,streamline extensible interfaces,100.0
2024-07-11,2196.8,grow world-class e-commerce,2024-07-13,2219.2219662308858,grow world-class e-commerce,100.0
2024-06-02,161.99,exploit end-to-end markets,2024-06-04,162.6860890819729,exploit end-to-end markets,100.0
2024-02-05,2771.33,strategize robust schemas,2024-02-02,2711.3052440886663,strategize robust schemas,100.0
2024-08-19,3635.97,repurpose rich methodologies,2024-08-19,3496.591378589233,repurpose rich methodologies,100.0
2024-06-21,882.97,enable clicks-and-mortar web services,2024-06-22,872.2989319964813,enable clicks-and-mortar web services,100.0
2024-09-22,709.06,exploit one-to-one e-commerce,2024-09-20,716.2860978269172,exploit one-to-one e-commerce,100.0
2024-09-14,3900.46,revolutionize open-source initiatives,2024-09-16,3719.783924949108,revolutionize open-source initiativeq,97.2972972972973
2024-03-30,1801.72,synergize B2C info-mediaries,2024-03-31,1866.4119902158795,synergize B2C info-mediaries,100.0
2024-01-01,3334.45,syndicate B2C platforms,2023-12-29,3335.165621915484,syndicate B2C platforms,100.0
2024-09-16,3374.81,drive distributed solutions,2024-09-13,3474.0606545688456,drive distributed solutions,100.0
2024-02-06,1126.71,envisioneer back-end eyeballs,2024-02-09,1127.8289002954732,envisioneer back-end eyeballs,100.0
2024-02-05,3191.3,architect cross-platform methodologies,2024-02-02,3289.069858540154,architect cross-platform methodologies,100.0
2024-06-14,3221.81,leverage rich models,2024-06-11,3202.78024730698,leverage rich models,100.0
2024-06-08,2188.03,transition killer platforms,2024-06-09,2254.464011030669,transition killer platforms,100.0
2024-03-23,1056.61,mesh ubiquitous eyeballs,2024-03-21,1053.2314178925822,mesh ubiquitous eyeballs,100.0
2024-08-22,4430.36,envisioneer next-generation applications,2024-08-21,4242.098400731232,envisioneer next-generation applications,100.0
2024-07-23,4960.86,incentivize granular ROI,2024-07-22,4753.218837732541,incentivize granulag ROI,95.83333333333334
2024-02-13,1406.92,exploit out-of-the-box ROI,2024-02-14,1424.0688450967482,exploit out-of-the-box ROI,100.0
2024-03-04,2647.09,deliver collaborative models,2024-03-06,2574.55749984646,deliver collaborative models,100.0
2024-02-23,354.25,transition integrated communities,2024-02-22,338.52805425282094,transition integrated communities,100.0
2024-04-21,1396.3,enhance cross-platform functionalities,2024-04-21,1360.6561299887394,enhance cross-platform functionalities,100.0
2024-07-26,1393.73,productize seamless bandwidth,2024-07-24,1455.1581882669104,productize seamless bandwidth,100.0
2024-08-04,4024.58,unleash impactful synergies,2024-08-05,3875.008494163985,unleash impactful synergies,100.0
2024-09-07,2273.01,integrate plug-and-play eyeballs,2024-09-09,2328.070469254301,integrate plug-and-play eyeballs,100.0
2024-04-12,1659.35,expedite wireless applications,2024-04-12,1661.8899829421248,expedite wireless applications,100.0
2024-01-04,727.04,brand impactful paradigms,2024-01-01,694.2585648437151,brand impactful paradigms,100.0
2024-06-27,3969.8,synthesize extensible info-mediaries,2024-06-26,3915.11973381386,SYN. extensible info-mediaries,75.75757575757575
2024-01-13,1002.67,evolve vertical methodologies,2024-01-12,998.2277209830067,evolve vertical methodologies,100.0
2024-07-27,448.07,streamline visionary eyeballs,2024-07-24,440.0583553766037,streamline visionary eyeballs,100.0
2024-02-27,3531.29,enhance rich action-items,2024-03-01,3375.0988172028847,enhance rich action-items,100.0
2024-08-24,170.11,benchmark dot-com vortals,2024-08-27,169.01038501693648,benchmark dot-com vortals,100.0
2024-08-03,985.08,re-contextualize front-end e-business,2024-07-31,1007.3124417059646,re-contextualize front-end e-business,100.0
2024-03-27,3988.84,utilize wireless content,2024-03-27,4006.246304664338,utilize wireless content,100.0
2024-06-01,3637.64,incentivize distributed schemas,2024-06-03,3615.0891895915406,incentivize distributed schemas,100.0
2024-08-21,3745.34,mesh intuitive e-business,2024-08-19,3561.370299557535,mesh intuitive e-business,100.0
2024-05-31,87.06,re-contextualize web-enabled partnerships,2024-05-31,86.04926054709325,RE-. web-enabled partnerships,68.57142857142857
2024-03-20,2545.45,deploy distributed applications,2024-03-22,2535.9445894165606,deploy distributed applications,100.0
2024-03-18,1545.18,transform frictionless bandwidth,2024-03-17,1601.3385677544927,transform frictionless bandwidth,100.0
2024-08-01,2800.93,productize compelling mindshare,2024-07-30,2737.039884873214,productize compelling mindshare,100.0
2024-07-30,3119.59,incubate web-enabled vortals,2024-07-31,3043.606125605711,incubate web-enabled vortals,100.0
2024-08-13,3912.27,re-contextualize open-source eyeballs,2024-08-10,3742.456966560741,re-contextualize open-source EYE.,82.85714285714285
2024-03-12,4370.64,engage real-time architectures,2024-03-10,4248.637892384232,engage real-time architectures,100.0
2024-06-06,982.72,whiteboard integrated systems,2024-06-07,955.8092128615978,whiteboard integrated systems,100.0
2024-06-20,2069.87,enable strategic initiatives,2024-06-20,2060.706594379052,enable strategic initiatives,100.0
2024-07-15,3183.39,maximize e-business architectures,2024-07-13,3226.6433769384425,maximize e-business architectures,100.0
2024-08-13,1769.7,transform killer interfaces,2024-08-12,1768.186811955714,transform killer interfaces,100.0
2024-04-01,1552.04,transition leading-edge info-mediaries,2024-04-03,1526.060944460853,transition leading-edge info-mediaries,100.0
2024-01-17,3529.61,implement enterprise ROI,2024-01-18,3564.015718419709,implement enterprise ROI,100.0
2024-07-22,1774.73,reinvent holistic experiences,2024-07-23,1790.4188978146965,reinvent holistic experiences,100.0
